 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  23. 4.    Time:  14:22:42
 Units: L = cm   , T = days , M = 5    


 Time:        0.0010


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  57  -112.0000      -0.239 0.3885   0.6524E-01  0.1457E-03 -0.6492E-01  0.0000E+00      -1  -0.894E+00   20.00  0.7715E-03  0.0000E+00
  58  -114.0000      -0.230 0.3885   0.6591E-01  0.1378E-03 -0.6554E-01  0.0000E+00      -1  -0.902E+00   20.00  0.7908E-03  0.0000E+00
  59  -116.0000      -0.220 0.3885   0.6638E-01  0.1324E-03 -0.6601E-01  0.0000E+00      -1  -0.909E+00   20.00  0.8096E-03  0.0000E+00
  60  -118.0000      -0.211 0.3885   0.6659E-01  0.1299E-03 -0.6631E-01  0.0000E+00      -1  -0.913E+00   20.00  0.8277E-03  0.0000E+00
  61  -120.0000      -0.205 0.3885   0.6664E-01  0.1293E-03 -0.6646E-01  0.0000E+00      -1  -0.915E+00   20.00  0.8452E-03  0.0000E+00
  62  -122.0000      -0.202 0.3885   0.6660E-01  0.1299E-03 -0.6650E-01  0.0000E+00      -1  -0.916E+00   20.00  0.8619E-03  0.0000E+00
  63  -124.0000      -0.200 0.3885   0.6651E-01  0.1309E-03 -0.6648E-01  0.0000E+00      -1  -0.915E+00   20.00  0.8778E-03  0.0000E+00
  64  -126.0000      -0.200 0.3885   0.6641E-01  0.1320E-03 -0.6642E-01  0.0000E+00      -1  -0.914E+00   20.00  0.8929E-03  0.0000E+00
  65  -128.0000      -0.201 0.3885   0.6632E-01  0.1330E-03 -0.6636E-01  0.0000E+00      -1  -0.914E+00   20.00  0.9071E-03  0.0000E+00
  66  -130.0000      -0.202 0.3885   0.6625E-01  0.1338E-03 -0.6629E-01  0.0000E+00      -1  -0.913E+00   20.00  0.9204E-03  0.0000E+00
  67  -132.0000      -0.203 0.3885   0.6621E-01  0.1344E-03 -0.6624E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9327E-03  0.0000E+00
  68  -134.0000      -0.204 0.3885   0.6618E-01  0.1346E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9441E-03  0.0000E+00
  69  -136.0000      -0.204 0.3885   0.6617E-01  0.1348E-03 -0.6619E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9544E-03  0.0000E+00
  70  -138.0000      -0.205 0.3885   0.6617E-01  0.1348E-03 -0.6618E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9636E-03  0.0000E+00
  71  -140.0000      -0.205 0.3885   0.6617E-01  0.1348E-03 -0.6618E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9718E-03  0.0000E+00
  72  -142.0000      -0.205 0.3885   0.6618E-01  0.1347E-03 -0.6618E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9788E-03  0.0000E+00
  73  -144.0000      -0.205 0.3885   0.6619E-01  0.1346E-03 -0.6619E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9846E-03  0.0000E+00
  74  -146.0000      -0.205 0.3885   0.6620E-01  0.1345E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9893E-03  0.0000E+00
  75  -148.0000      -0.205 0.3885   0.6621E-01  0.1344E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9929E-03  0.0000E+00
  76  -150.0000      -0.205 0.3885   0.6621E-01  0.1343E-03 -0.6621E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9953E-03  0.0000E+00
  77  -152.0000      -0.205 0.3885   0.6621E-01  0.1343E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9965E-03  0.0000E+00
  78  -154.0000      -0.205 0.3885   0.6621E-01  0.1343E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9965E-03  0.0000E+00
  79  -156.0000      -0.205 0.3885   0.6622E-01  0.1343E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9954E-03  0.0000E+00
  80  -158.0000      -0.205 0.3885   0.6622E-01  0.1343E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9932E-03  0.0000E+00
  81  -160.0000      -0.205 0.3885   0.6622E-01  0.1343E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9900E-03  0.0000E+00
  82  -162.0000      -0.205 0.3885   0.6621E-01  0.1343E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9856E-03  0.0000E+00
  83  -164.0000      -0.205 0.3885   0.6621E-01  0.1344E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9803E-03  0.0000E+00
  84  -166.0000      -0.205 0.3885   0.6621E-01  0.1344E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9740E-03  0.0000E+00
  85  -168.0000      -0.205 0.3885   0.6621E-01  0.1344E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9668E-03  0.0000E+00
  86  -170.0000      -0.205 0.3885   0.6621E-01  0.1344E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9589E-03  0.0000E+00
  87  -172.0000      -0.205 0.3885   0.6621E-01  0.1344E-03 -0.6621E-01  0.0000E+00      -1  -0.912E+00   20.00  0.9502E-03  0.0000E+00
  88  -174.0000      -0.205 0.3885   0.6621E-01  0.1344E-03 -0.6621E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9409E-03  0.0000E+00
  89  -176.0000      -0.205 0.3885   0.6621E-01  0.1344E-03 -0.6621E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9311E-03  0.0000E+00
  90  -178.0000      -0.205 0.3885   0.6620E-01  0.1344E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9209E-03  0.0000E+00
  91  -180.0000      -0.205 0.3885   0.6620E-01  0.1344E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.9104E-03  0.0000E+00
  92  -182.0000      -0.205 0.3885   0.6620E-01  0.1345E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.8999E-03  0.0000E+00
  93  -184.0000      -0.205 0.3885   0.6620E-01  0.1345E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.8895E-03  0.0000E+00
  94  -186.0000      -0.205 0.3885   0.6620E-01  0.1345E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.8794E-03  0.0000E+00
  95  -188.0000      -0.205 0.3885   0.6620E-01  0.1345E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.8698E-03  0.0000E+00
  96  -190.0000      -0.205 0.3885   0.6619E-01  0.1345E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.8610E-03  0.0000E+00
  97  -192.0000      -0.205 0.3885   0.6620E-01  0.1345E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.8533E-03  0.0000E+00
  98  -194.0000      -0.205 0.3885   0.6620E-01  0.1345E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.8470E-03  0.0000E+00
  99  -196.0000      -0.205 0.3885   0.6619E-01  0.1345E-03 -0.6620E-01  0.0000E+00      -1  -0.911E+00   20.00  0.8424E-03  0.0000E+00
 100  -198.0000      -0.205 0.3885   0.6619E-01  0.1345E-03 -0.6619E-01  0.0000E+00      -1  -0.911E+00   20.00  0.8398E-03  0.0000E+00
 101  -200.0000      -0.205 0.3885   0.6619E-01  0.1346E-03 -0.6619E-01  0.0000E+00      -1  -0.911E+00   20.00  0.8398E-03  0.0000E+00
end
